"label","startDate","endDate"
"Week 1",2018-09-05,2018-09-11
"Week 2",2018-09-12,2018-09-18
"Week 3",2018-09-19,2018-09-25
"Week 4",2018-09-26,2018-10-02
"Week 5",2018-10-03,2018-10-09
"Week 6",2018-10-10,2018-10-16
"Week 7",2018-10-17,2018-10-23
"Week 8",2018-10-24,2018-10-30
"Week 9",2018-10-31,2018-11-06
"Week 10",2018-11-07,2018-11-13
"Week 11",2018-11-14,2018-11-20
"Week 12",2018-11-21,2018-11-27
"Week 13",2018-11-28,2018-12-04
"Week 14",2018-12-05,2018-12-11
"Week 15",2018-12-12,2018-12-18
"Week 16",2018-12-19,2018-12-25
"Week 17",2018-12-26,2019-01-01
