"GameID","date","home","away","homescore","awayscore"
"2018090600",2018-09-06,"PHI","ATL",18,12
"2018090900",2018-09-09,"BAL","BUF",47,3
"2018090907",2018-09-09,"NYG","JAX",15,20
"2018090906",2018-09-09,"NO","TB",40,48
"2018090905",2018-09-09,"NE","HOU",27,20
"2018090904",2018-09-09,"MIN","SF",24,16
"2018090903",2018-09-09,"MIA","TEN",27,20
"2018090902",2018-09-09,"IND","CIN",23,34
"2018090901",2018-09-09,"CLE","PIT",21,21
"2018090908",2018-09-09,"LAC","KC",28,38
"2018090911",2018-09-09,"DEN","SEA",27,24
"2018090910",2018-09-09,"CAR","DAL",16,8
"2018090909",2018-09-09,"ARI","WAS",6,24
"2018090912",2018-09-09,"GB","CHI",24,23
"2018091000",2018-09-10,"DET","NYJ",17,48
"2018091001",2018-09-10,"OAK","LA",13,33
"2018091300",2018-09-13,"CIN","BAL",34,23
"2018091600",2018-09-16,"ATL","CAR",31,24
"2018091608",2018-09-16,"WAS","IND",9,21
"2018091607",2018-09-16,"TEN","HOU",20,17
"2018091606",2018-09-16,"TB","PHI",27,21
"2018091605",2018-09-16,"PIT","KC",37,42
"2018091604",2018-09-16,"NYJ","MIA",12,20
"2018091601",2018-09-16,"BUF","LAC",20,31
"2018091602",2018-09-16,"GB","MIN",29,29
"2018091603",2018-09-16,"NO","CLE",21,18
"2018091610",2018-09-16,"SF","DET",30,27
"2018091609",2018-09-16,"LA","ARI",34,0
"2018091612",2018-09-16,"JAX","NE",31,20
"2018091611",2018-09-16,"DEN","OAK",20,19
"2018091613",2018-09-16,"DAL","NYG",20,13
"2018091700",2018-09-17,"CHI","SEA",24,17
"2018092000",2018-09-20,"CLE","NYJ",21,17
"2018092300",2018-09-23,"ATL","NO",37,43
"2018092309",2018-09-23,"WAS","GB",31,17
"2018092308",2018-09-23,"PHI","IND",20,16
"2018092307",2018-09-23,"MIN","BUF",6,27
"2018092306",2018-09-23,"MIA","OAK",28,20
"2018092301",2018-09-23,"BAL","DEN",27,14
"2018092302",2018-09-23,"CAR","CIN",31,21
"2018092303",2018-09-23,"HOU","NYG",22,27
"2018092304",2018-09-23,"JAX","TEN",6,9
"2018092305",2018-09-23,"KC","SF",38,27
"2018092310",2018-09-23,"LA","LAC",35,23
"2018092312",2018-09-23,"SEA","DAL",24,13
"2018092311",2018-09-23,"ARI","CHI",14,16
"2018092313",2018-09-23,"DET","NE",26,10
"2018092400",2018-09-24,"TB","PIT",27,30
"2018092700",2018-09-27,"LA","MIN",38,31
"2018093005",2018-09-30,"JAX","NYJ",31,12
"2018093006",2018-09-30,"NE","MIA",38,7
"2018093007",2018-09-30,"TEN","PHI",26,23
"2018093004",2018-09-30,"IND","HOU",34,37
"2018093003",2018-09-30,"GB","BUF",22,0
"2018093002",2018-09-30,"DAL","DET",26,24
"2018093001",2018-09-30,"CHI","TB",48,10
"2018093000",2018-09-30,"ATL","CIN",36,37
"2018093008",2018-09-30,"ARI","SEA",17,20
"2018093009",2018-09-30,"OAK","CLE",45,42
"2018093011",2018-09-30,"NYG","NO",18,33
"2018093010",2018-09-30,"LAC","SF",29,27
"2018093012",2018-09-30,"PIT","BAL",14,26
"2018100100",2018-10-01,"DEN","KC",23,27
"2018100400",2018-10-04,"NE","IND",38,24
"2018100700",2018-10-07,"BUF","TEN",13,12
"2018100707",2018-10-07,"PIT","ATL",41,17
"2018100706",2018-10-07,"NYJ","DEN",34,16
"2018100705",2018-10-07,"KC","JAX",30,14
"2018100704",2018-10-07,"DET","GB",31,23
"2018100703",2018-10-07,"CLE","BAL",12,9
"2018100701",2018-10-07,"CAR","NYG",33,31
"2018100702",2018-10-07,"CIN","MIA",27,17
"2018100708",2018-10-07,"LAC","OAK",26,10
"2018100710",2018-10-07,"SF","ARI",18,28
"2018100709",2018-10-07,"PHI","MIN",21,23
"2018100711",2018-10-07,"SEA","LA",31,33
"2018100712",2018-10-07,"HOU","DAL",19,16
"2018100800",2018-10-08,"NO","WAS",43,19
"2018101100",2018-10-11,"NYG","PHI",13,34
"2018101400",2018-10-14,"ATL","TB",34,29
"2018101408",2018-10-14,"WAS","CAR",23,17
"2018101407",2018-10-14,"OAK","SEA",3,27
"2018101406",2018-10-14,"NYJ","IND",42,34
"2018101405",2018-10-14,"MIN","ARI",27,17
"2018101401",2018-10-14,"CIN","PIT",21,28
"2018101402",2018-10-14,"CLE","LAC",14,38
"2018101403",2018-10-14,"HOU","BUF",20,13
"2018101404",2018-10-14,"MIA","CHI",31,28
"2018101409",2018-10-14,"DEN","LA",20,23
"2018101411",2018-10-14,"TEN","BAL",0,21
"2018101410",2018-10-14,"DAL","JAX",40,7
"2018101412",2018-10-14,"NE","KC",43,40
"2018101500",2018-10-15,"GB","SF",33,30
"2018101800",2018-10-18,"ARI","DEN",10,45
